City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
freeport,40.6576,-73.5832,93.22,70,1,1.01,US,1628810692
kumla,59.1277,15.1434,58.33,88,20,5.75,SE,1628810700
cururupu,-1.8283,-44.8683,76.14,95,100,5.32,BR,1628810701
vardo,70.3705,31.1107,51.39,94,100,7.87,NO,1628810701
mataura,-46.1927,168.8643,50.49,89,17,2.98,NZ,1628810701
itoman,26.1247,127.6694,80.98,96,75,14.97,JP,1628810702
esperance,-33.8667,121.9,48.04,81,1,9.01,AU,1628810704
east london,-33.0153,27.9116,57.34,56,100,13.44,ZA,1628810704
pangnirtung,66.1451,-65.7125,51.3,89,100,8.03,CA,1628810706
bredasdorp,-34.5322,20.0403,45.72,76,71,3.44,ZA,1628810706
chokurdakh,70.6333,147.9167,63.0,64,79,13.44,RU,1628810706
berlevag,70.8578,29.0864,51.22,89,96,1.61,NO,1628810707
noumea,-22.2763,166.4572,73.38,58,12,10.65,NC,1628810707
qaanaaq,77.484,-69.3632,41.23,72,34,2.15,GL,1628810707
torbay,47.6666,-52.7314,59.76,86,90,6.91,CA,1628810708
bluff,-46.6,168.3333,50.81,78,23,13.94,NZ,1628810708
jamestown,42.097,-79.2353,81.72,77,75,4.0,US,1628810709
souillac,-20.5167,57.5167,71.98,88,75,9.22,MU,1628810709
hobart,-42.8794,147.3294,55.26,64,75,7.0,AU,1628810695
bethel,41.3712,-73.414,87.42,68,19,7.96,US,1628810709
vaini,-21.2,-175.2,73.56,78,40,11.5,TO,1628810710
butaritari,3.0707,172.7902,81.7,77,31,8.1,KI,1628810710
fortuna,40.5982,-124.1573,65.32,72,1,12.66,US,1628810710
atuona,-9.8,-139.0333,76.32,77,10,13.8,PF,1628810711
fare,-16.7,-151.0167,78.89,68,0,14.14,PF,1628810711
bagan,54.1001,77.6646,50.22,82,87,12.59,RU,1628810712
kapaa,22.0752,-159.319,86.32,65,40,1.99,US,1628810538
rikitea,-23.1203,-134.9692,74.57,81,63,14.12,PF,1628810712
mogadishu,2.0371,45.3438,76.06,89,17,16.4,SO,1628810712
nizhniy baskunchak,48.2198,46.8311,85.71,26,88,11.77,RU,1628810713
ushuaia,-54.8,-68.3,46.06,71,75,35.68,AR,1628810713
yumen,40.2833,97.2,69.44,33,0,5.1,CN,1628810714
yei,4.095,30.6779,65.12,97,30,2.53,SS,1628810714
la ronge,55.1001,-105.2842,61.02,41,75,14.97,CA,1628810714
hargeysa,9.56,44.065,75.78,48,75,19.37,SO,1628810715
sur,22.5667,59.5289,87.1,58,97,8.16,OM,1628810715
lorengau,-2.0226,147.2712,79.79,82,93,7.85,PG,1628810715
imamoglu,37.2651,35.6572,82.0,49,0,3.29,TR,1628810716
san policarpo,12.1791,125.5072,80.47,81,81,0.89,PH,1628810716
kruisfontein,-34.0033,24.7314,49.01,77,100,8.1,ZA,1628810717
punta arenas,-53.15,-70.9167,44.71,70,0,42.57,CL,1628810717
busselton,-33.65,115.3333,42.08,82,56,4.94,AU,1628810718
santa isabel,-23.3156,-46.2214,58.71,97,100,2.64,BR,1628810718
nikolskoye,59.7035,30.7861,62.49,94,100,13.44,RU,1628810718
sabang,5.8933,95.3214,81.43,75,71,17.54,ID,1628810719
hermanus,-34.4187,19.2345,50.9,78,52,9.31,ZA,1628810719
tongliao,43.6125,122.2653,62.37,86,60,8.99,CN,1628810723
georgetown,5.4112,100.3354,80.89,87,20,1.14,MY,1628810671
